2022-12-09,21,3,57,3.2,92,3.2.2.0,KONSUMSI MEETING ROATEX METALCOM DI KANTOR JASA MARGA P TATANG,UMUM,179000,[3.2.2.0] Jamuan IN-ternal
2022-12-10,19,1,53,1.3,78,1.3.2.0,SPBU 3414413 EXPANDER B2295UKX OPERASIONAL KE GANTRY JAGORAWI 128 P TATANG,128,100000,[1.3.2.0] Bensin
2022-12-14,19,1,53,1.3,78,1.3.2.0,SPBU 3414307 RUSH B2060UOB OPERASIONAL KE JORR S P TATANG ,UMUM,100000,[1.3.2.0] Bensin
2022-12-07,19,1,53,1.3,78,1.3.2.0,SPBU 3413089 RUSH B2060UOB OPERASIONAL KE 128 DAN 208 P TATANG,128,300000,[1.3.2.0] Bensin
2022-12-14,21,3,57,3.2,92,3.2.2.0,KONSUMSI INSTAIL GANTRY 128 P TATANG,128,182800,[3.2.2.0] Jamuan IN-ternal
2022-12-05,19,1,53,1.3,78,1.3.2.0,SPBU 3441345 RUSH B2060UOB DINAS KE BOGOR P TATANG DAN RANGGA,UMUM,100000,[1.3.2.0] Bensin
2022-12-08,21,3,57,3.2,92,3.2.2.0,KONSUMSI KE JAGORAWI AIR MINERAL P TATANG,UMUM,6200,[3.2.2.0] Jamuan IN-ternal
2022-12-09,21,3,57,3.2,92,3.2.2.0,KONSUMSI PERJALANAN KE DINAS JAGORAWI P TATANG,UMUM,26000,[3.2.2.0] Jamuan IN-ternal
2022-12-14,21,3,57,3.2,92,3.2.2.0,KONSUMSI DI LOKASI 208 P TATANG ,208,76500,[3.2.2.0] Jamuan IN-ternal
2022-12-08,21,3,57,3.2,92,3.2.2.0,KONSUMSI MEETING KORDINASI DI MESS 128 P TATANG,128,182000,[3.2.2.0] Jamuan IN-ternal
2022-12-09,19,1,52,1.2,75,1.2.1.0,METERAN 50M PLAS UNTUK ALAT SURVEY ALAT KERJA P TATANG,UMUM,225000,[1.2.1.0] Tools
2022-12-14,20,2,55,2.2,85,2.2.2.0,TOKEN LISTRIK NO 86019577252  MESS P TATANG ,UMUM,52500,[2.2.2.0] Komunikasi (Telepon, Internet, CCTV)
2022-12-07,20,2,55,2.2,88,2.2.4.0,TOP UP MANDIRI 6032982835079045 RUSH B2060UOB OPERASIONAL KE JAGORAWI P TATANG,UMUM,200000,[2.2.4.0] Transportasi
2022-12-20,21,3,57,3.2,92,3.2.2.0,KONSUMSI MALAM DINAS DI CIKANDE P TATANG DAN P MEKO,UMUM,50000,[3.2.2.0] Jamuan IN-ternal
2022-12-24,20,2,55,2.2,88,2.2.4.0,CUCI MOBIL RUSH B2060UOB P ALI,UMUM,30000,[2.2.4.0] Transportasi
2022-12-23,19,1,53,1.3,78,1.3.2.0,SPBU 3414301 RUSH B2853UKZ OPERASIONAL DR KANTOR KE MES CEGER AMBIL CONE P ALI,UMUM,100000,[1.3.2.0] Bensin
2022-12-26,19,1,53,1.3,78,1.3.2.0,SPBU 3414301 RUSH B2853UKX OPERASIONAL AMBIL CONE KE TANGGERANG BAWA KE KANTOR P ALI,UMUM,100000,[1.3.2.0] Bensin
2022-12-28,20,2,55,2.2,88,2.2.4.0,TOP UP MANDIRI 603298283507905 RUSH B2853UKX  OPERASIONAL CEK RAMBU DAN AMBIL CONE DI TANGGERANG P ALI,UMUM,101500,[2.2.4.0] Transportasi
2022-12-21,19,1,53,1.3,78,1.3.2.0,SPBU 3413806 RUSH B2060UOB OPERASIONAL DARI MESS KE KANTOR P ANGGA,UMUM,50000,[1.3.2.0] Bensin
2022-12-21,20,2,55,2.2,88,2.2.4.0,TOP UP BCA 0145200401493079 AMBIL CONE DI MESS CEGER P ALI,UMUM,100000,[2.2.4.0] Transportasi
2022-12-28,20,2,55,2.2,88,2.2.4.0,TAMBAH ANGIN NITROGEN RUSH B2060UOB P ALI,UMUM,20000,[2.2.4.0] Transportasi
2022-12-07,23,5,59,5.1,111,5.1.14.0,MATERIAL RING PER HITAM KEBUTUHAN GANTRY 128 DAN 208 P TATANG,128,133408,[5.1.14.0] Material Sipil Lain-lain
2022-12-13,20,2,55,2.2,88,2.2.4.0,TRANSPORT OPERASIONAL TJ DUREN-SENAYAN P IVAN,UMUM,101500,[2.2.4.0] Transportasi
2022-12-13,20,2,55,2.2,88,2.2.4.0,TRANSPORT OPERASIONAL SENAYAN-TANJUNG DUREN P IVAN,UMUM,100000,[2.2.4.0] Transportasi
2022-12-09,20,2,55,2.2,88,2.2.4.0,TRANSPORT OPERASIONAL TANJUNG DUREN-SENAYAN P IVAN,UMUM,104000,[2.2.4.0] Transportasi
2022-12-09,20,2,55,2.2,88,2.2.4.0,TRANSPORT OPERASIONAL SENAYAN-TANJUNG DUREN P IVAN,UMUM,85500,[2.2.4.0] Transportasi
